,,,,,,,,
 Region , Year ,Quarter,"Not Seasonally-Adjusted
Purchase-Only Index 
(1991Q1=100)","Seasonally-Adjusted Purchase-Only Index 
(1991Q1=100)","Not Seasonally-Adjusted
Purchase-Only Index
% Change Over 
Previous Quarter","Seasonally-Adjusted Purchase-Only Index
% Change Over 
Previous Quarter","Not Seasonally-Adjusted
Purchase-Only Index
% Change Over 
Previous 4 Quarters","Seasonally-Adjusted Purchase-Only Index
% Change Over 
Previous 4 Quarters"
 USA ,2000 ,4 ,144.05 ,143.86 ,1.03%,1.74%,6.96%,6.95%
 USA ,2001 ,1 ,146.35 ,146.54 ,1.60%,1.86%,7.04%,7.06%
 USA ,2001 ,2 ,149.97 ,148.89 ,2.47%,1.61%,6.97%,6.98%
 USA ,2001 ,3 ,152.48 ,151.19 ,1.68%,1.54%,6.95%,6.91%
 USA ,2001 ,4 ,153.78 ,153.56 ,0.85%,1.57%,6.75%,6.74%
 USA ,2002 ,1 ,155.88 ,156.13 ,1.37%,1.67%,6.51%,6.54%
 USA ,2002 ,2 ,160.15 ,159.00 ,2.74%,1.84%,6.79%,6.79%
 USA ,2002 ,3 ,163.51 ,162.06 ,2.10%,1.92%,7.23%,7.19%
 USA ,2002 ,4 ,165.54 ,165.30 ,1.24%,2.00%,7.65%,7.65%
 USA ,2003 ,1 ,167.90 ,168.23 ,1.42%,1.77%,7.71%,7.75%
 USA ,2003 ,2 ,172.20 ,170.94 ,2.56%,1.61%,7.52%,7.51%
 USA ,2003 ,3 ,175.93 ,174.32 ,2.17%,1.98%,7.60%,7.57%
 USA ,2003 ,4 ,178.52 ,178.28 ,1.47%,2.27%,7.84%,7.85%
 USA ,2004 ,1 ,181.81 ,182.24 ,1.84%,2.22%,8.28%,8.33%
 USA ,2004 ,2 ,188.26 ,186.81 ,3.55%,2.51%,9.33%,9.29%
 USA ,2004 ,3 ,193.49 ,191.67 ,2.78%,2.60%,9.98%,9.95%
 USA ,2004 ,4 ,196.60 ,196.38 ,1.61%,2.46%,10.13%,10.16%
 USA ,2005 ,1 ,200.73 ,201.29 ,2.10%,2.50%,10.41%,10.46%
 USA ,2005 ,2 ,208.30 ,206.58 ,3.77%,2.63%,10.64%,10.58%
 USA ,2005 ,3 ,214.06 ,211.98 ,2.77%,2.61%,10.63%,10.60%
 USA ,2005 ,4 ,216.61 ,216.47 ,1.19%,2.11%,10.18%,10.23%
 USA ,2006 ,1 ,219.00 ,219.71 ,1.10%,1.50%,9.10%,9.15%
 USA ,2006 ,2 ,223.27 ,221.29 ,1.95%,0.72%,7.19%,7.12%
 USA ,2006 ,3 ,223.97 ,221.70 ,0.31%,0.18%,4.63%,4.58%
 USA ,2006 ,4 ,222.88 ,222.79 ,-0.49%,0.49%,2.89%,2.92%
 USA ,2007 ,1 ,223.26 ,224.15 ,0.17%,0.61%,1.94%,2.02%
 USA ,2007 ,2 ,225.76 ,223.61 ,1.12%,-0.24%,1.12%,1.05%
 USA ,2007 ,3 ,223.14 ,220.80 ,-1.16%,-1.26%,-0.37%,-0.40%
 USA ,2007 ,4 ,216.95 ,216.87 ,-2.77%,-1.78%,-2.66%,-2.66%
 USA ,2008 ,1 ,210.72 ,211.79 ,-2.87%,-2.34%,-5.62%,-5.52%
 USA ,2008 ,2 ,208.01 ,205.90 ,-1.29%,-2.78%,-7.87%,-7.92%
 USA ,2008 ,3 ,203.03 ,200.77 ,-2.39%,-2.49%,-9.01%,-9.07%
 USA ,2008 ,4 ,195.02 ,194.90 ,-3.94%,-2.92%,-10.11%,-10.13%
 USA ,2009 ,1 ,192.58 ,193.83 ,-1.25%,-0.55%,-8.61%,-8.48%
 USA ,2009 ,2 ,193.13 ,191.06 ,0.28%,-1.43%,-7.15%,-7.21%
 USA ,2009 ,3 ,192.39 ,190.10 ,-0.38%,-0.50%,-5.24%,-5.31%
 USA ,2009 ,4 ,190.08 ,189.95 ,-1.20%,-0.08%,-2.53%,-2.54%
 USA ,2010 ,1 ,186.76 ,188.21 ,-1.75%,-0.91%,-3.02%,-2.90%
 USA ,2010 ,2 ,189.49 ,187.35 ,1.46%,-0.46%,-1.88%,-1.94%
 USA ,2010 ,3 ,186.63 ,184.25 ,-1.51%,-1.65%,-2.99%,-3.08%
 USA ,2010 ,4 ,182.49 ,182.38 ,-2.22%,-1.02%,-3.99%,-3.99%
 USA ,2011 ,1 ,176.80 ,178.37 ,-3.12%,-2.20%,-5.33%,-5.23%
 USA ,2011 ,2 ,179.08 ,176.91 ,1.29%,-0.82%,-5.49%,-5.57%
 USA ,2011 ,3 ,180.06 ,177.64 ,0.55%,0.41%,-3.52%,-3.59%
 USA ,2011 ,4 ,177.96 ,177.93 ,-1.16%,0.16%,-2.48%,-2.44%
 USA ,2012 ,1 ,177.08 ,178.72 ,-0.49%,0.45%,0.16%,0.20%
 USA ,2012 ,2 ,184.07 ,181.72 ,3.95%,1.68%,2.79%,2.72%
 USA ,2012 ,3 ,186.56 ,183.99 ,1.35%,1.25%,3.61%,3.57%
 USA ,2012 ,4 ,186.67 ,186.75 ,0.06%,1.50%,4.89%,4.95%
 USA ,2013 ,1 ,188.90 ,190.60 ,1.19%,2.07%,6.67%,6.65%
 USA ,2013 ,2 ,197.23 ,194.61 ,4.41%,2.10%,7.15%,7.09%
 USA ,2013 ,3 ,200.53 ,197.77 ,1.67%,1.62%,7.48%,7.49%
 USA ,2013 ,4 ,199.50 ,199.71 ,-0.51%,0.98%,6.87%,6.94%
 USA ,2014 ,1 ,200.56 ,202.20 ,0.53%,1.25%,6.17%,6.08%
 USA ,2014 ,2 ,206.93 ,204.13 ,3.17%,0.96%,4.92%,4.89%
 USA ,2014 ,3 ,209.25 ,206.46 ,1.12%,1.14%,4.35%,4.39%
 USA ,2014 ,4 ,208.94 ,209.22 ,-0.15%,1.34%,4.73%,4.77%
 USA ,2015 ,1 ,210.61 ,212.10 ,0.80%,1.38%,5.01%,4.90%
 USA ,2015 ,2 ,217.89 ,214.92 ,3.46%,1.33%,5.30%,5.29%
 USA ,2015 ,3 ,220.52 ,217.71 ,1.21%,1.30%,5.38%,5.45%
 USA ,2015 ,4 ,220.64 ,220.96 ,0.06%,1.49%,5.60%,5.61%
 USA ,2016 ,1 ,222.69 ,224.04 ,0.93%,1.39%,5.74%,5.63%
 USA ,2016 ,2 ,230.19 ,227.10 ,3.37%,1.37%,5.65%,5.66%
 USA ,2016 ,3 ,233.42 ,230.58 ,1.40%,1.53%,5.85%,5.91%
 USA ,2016 ,4 ,234.12 ,234.44 ,0.30%,1.67%,6.11%,6.10%
 USA ,2017 ,1 ,236.40 ,237.59 ,0.97%,1.34%,6.15%,6.05%
 USA ,2017 ,2 ,245.02 ,241.79 ,3.65%,1.77%,6.44%,6.47%
 USA ,2017 ,3 ,248.70 ,245.79 ,1.50%,1.65%,6.55%,6.59%
 USA ,2017 ,4 ,249.63 ,249.98 ,0.37%,1.71%,6.63%,6.63%
 USA ,2018 ,1 ,253.57 ,254.66 ,1.58%,1.88%,7.27%,7.18%
 USA ,2018 ,2 ,261.37 ,257.97 ,3.07%,1.30%,6.67%,6.69%
 USA ,2018 ,3 ,264.56 ,261.53 ,1.22%,1.38%,6.38%,6.41%
 USA ,2018 ,4 ,264.54 ,264.90 ,-0.01%,1.29%,5.97%,5.97%
 USA ,2019 ,1 ,267.42 ,268.42 ,1.09%,1.33%,5.46%,5.40%
 USA ,2019 ,2 ,274.99 ,271.44 ,2.83%,1.12%,5.21%,5.22%
 USA ,2019 ,3 ,277.58 ,274.44 ,0.94%,1.11%,4.92%,4.94%
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
